term,definition
disjunctive,"연관성이 결여된, 분리하는, 분리성의"
dislocate,"(관절)탈구시키다;위치를 바꾸다,뒤죽박죽으로 만들다, 교란시키다"
dismay,"쩔쩔매게 하다, 용기(열정)를 잃게하다; 놀라게 하다"
dismount,(말 등에서) 내리다
disparage,"깎아내리다, 깔보다, 비난하다"
disparate,본직적으로 다른
dispassionate,"감정에 휘둘리지 않는, 냉정한;편견 없는, 공평한"
dispirit,"(열정, 사기, 희망 등을)잃게 하다"
displace,"(위치)옮기다, 바꾸다; 강제 이주시키다"
displeasant,불쾌감을 주는
disposition,기질
disputable,논쟁의 여지가 있는
dissect,(표본)해부하다
dissemble,가장하다
dissent,"의견을 달리하다, 동의하지 않다"
dissipate,흩어지게 하다
dissuade,하지 않도록 설득하다
distend,부풀게 하다
distill,증류하다
distract,집중하지 못하게 하다
ditch,"수로, 도랑, 배수구"
dither,"마음이 오락가락하다, 불안, 초조"
divulge,"누설하다, 폭로하다"
doctrine,"정설, 원칙"
dodder,"(나이 들어서)비틀거리다, 비틀거리며 걷다"
dodge,피하다
dogged,"끈질긴, 끈덕진"
doggerel,엉터리 시
dolorous,"슬픈, 고통스러운"
domicile,"거주지, 집"
domineering,"오만한, 폭군적인"
dormant,활동이 없는;동면 기에 있는;잠재적인
dose,일회복용량
douse,(물)끼얹다/불을 끄다
downgrade,강등시키다
downplay,"얕보다, 중시하지 않다"
doze,선잠 들다
draconian,"가혹한, 아주 엄격한"
drain,"서서히 배출하다, 물기 없애다"
dramatic,"극적인, 인상적인,"
drawl,모음을 늘여서 천천히 말하다
dredge,"물바닥등을 긁어내다, 준설하다"
drench,흠뻑 적시다
drivel,허튼 소리
droll,"까부는, 우스꽝스런"
drone,단조롭게 말하다
drop cloth,(페인트칠을 할 때)방을막이천
dross,"녹은 금속의 찌꺼기;납동, 물때;가치 없는 것"
drudgery,허드렛일
dubious,"의심하는, 의심스러운"
ductile,"순종적인;(금속)두드려 변형시킬 수 있는, 가소성의"
dulcet,(소리가)감미로운
duly,"적절하게, 적당하게"
dupe,속이다
duplicity,"속이는 행위, 표리부동"
dynamo,"에너지가 넘치는 사람, 정력가"
earmark,"(자금, 물건 등을)특정용도로 지정하다"
earthly,"세속적인, 지상의"
eatable,(음식)먹을 수 있는
eavesdrop,몰래 엿듣다
ebullient,"쾌활한, 활력 있는;비등하는"
eccentric,"별난, 엉뚱한"
echelon,"위계질서;계층, 명령체계"
eclipse,"일식;명예, 권위 등을 실추시키다;명성의 상실, 권위의 추락"
ecumenical,"보편적인, 전반적인"
edit,편집하다
efface,"삭제하다, 지워 없애다;눈에 띄지 않게 행동하다"
effervescence,"쾌활함, 활기, 기운이 넘침"
effete,활력 없는
effusive,"(감정)넘쳐흐르는, 토로하는"
egoism,이기주의
eidetic,"선명한, 생생한"
elaborate,"복잡한, 정교한"
elastic,탄력 있는
elated,"아주 즐거워하는, 기뻐하는"
elective,선출의;선출권이 있는;선택적인
electricity,"강한 흥분, 격한 감정"
elegy,"애시,애가"
elemental,기본적인
elevation,"상승, 높아짐"
eliminate,제거하다
elliptical,"생략적인;(의미)지나치게 생략된, 모호한"
elongate,"(길이)늘이다, 연장하다"
elucidate,(명확히)설명하다
elusive,"(이해, 정의) 힘든, 피하는, 잡히지 않는"
emaciated,"쇠약해진, 수척한"
emanate,발산하다
embezzle,횡령하다
embolden,대담하게 하다
embrace,"포용하다, (생각, 의견)채택하다"
emergence,"출현, 부상, 발생"
eminent,"저명한, 유명한"
emollient,"피부연화제, 완화제"
empathetic,감정이입의
empirical,경험적인
emporium,"큰 상점;상업중심지, 시장"
emulation,"경쟁의식, 모범으로 삼음;흉내내기"
enchant,"황홀하게 하다, 매혹시키다"
encoded,암호화된
encomiast,칭송하는 자
encomium,"찬사, 칭찬하는 말"
encompass,"둘러싸다, 포위하다, 포함하다"
encumber,"짐 지우다;막다, 방해하다"
encyclopedic,"포괄적인, 백과사전식인, 해박한"
endeavor,노력
endorse,"승인하다, 지지하다, 보증하다, 배서하다"
endow,"기부하다;주다, 부여하다"
enduring,지속적인
energetic,활력 있는
enervate,약화시키다
enfeeble,약화시키다
enfranchise,투표권을 주다;자유롭게 해주다
engrossed,몰두한
enhearten,용기를 북돋우다
enigmatic,난해한
enmity,적대감
ennui,권태
enraptured,기뻐서 어쩔 줄 모르는
enrich,부유하게 만들다; 향상시키다
ensconce,"안전한 곳에 두다, 감추다, 숨기다 ;편히 앉히다"
ensue,뒤따라 발생하다
entangle,"뒤엉키게 하다, 복잡하게 만들다"
enthrall,마음을 사로잡다; 노예로 만들다
entice,유혹하다
entrammel,"얽히게 하다, 구속하다, 방해하다"
entrance,매료시키다
entrenched,굳어진
enunciate,명확히 표현/설명/발음하다
envy,"부러워하다, 탐내다"
ephemeral,"일시적인, 덧없는"
epic,"서사시; 서사시적인, 웅장한, 대규모의"
epicenter,"(지진) 진앙, 진원지 ; 중심점"
epilogue,"끝맺음말, 에필로그"
epistemology,인식론
epitomize,요약하다; 완벽한 예가 된다
eponymous,#NAME?
equable,"침착한, 차분한; 한결같은, 안정된"
equitable,"공정한, 공평한"
equivocal,애매한
equivocate,애매하게 둘러대다
era,"시대, 시기, 연대"
erratic,"변덕스런, 일정하지 않은;비정상적인"
erudite,박식한
escalate,"증대시키다, 고조되다"
eschew,피하다
